0,0.049778,-0.129425,0.0497779,-0.129425
0.005,0.0497542,-0.129425,0.0709582,-0.135286
0.01,0.04973,-0.129425,0.10427,-0.134931
0.015,0.0497053,-0.129425,0.105972,-0.132062
0.02,0.0496801,-0.129425,0.100713,-0.131654
0.025,0.0496545,-0.129425,0.0944028,-0.131159
0.03,0.0496284,-0.129425,0.0883822,-0.130735
0.035,0.0496018,-0.129425,0.0831713,-0.13036
0.04,0.0495748,-0.129425,0.0787517,-0.130053
0.045,0.0495472,-0.129425,0.0750561,-0.129803
0.05,0.0495191,-0.129425,0.0719867,-0.129603
0.055,0.0494904,-0.129425,0.0373368,-0.123651
0.06,0.0494613,-0.129425,-0.0731517,-0.119408
0.065,0.0494316,-0.129425,-0.1139,-0.119228
0.07,0.0494013,-0.129425,-0.0945667,-0.12068
0.075,0.0493705,-0.129425,-0.0508858,-0.122499
0.08,0.0493392,-0.129425,-0.00349515,-0.124075
0.085,0.0493072,-0.129425,0.0374057,-0.125218
0.09,0.0492746,-0.129425,0.0679423,-0.125972
0.095,0.0492415,-0.129425,0.0877966,-0.126461
0.1,0.0492077,-0.129425,0.0984391,-0.126814
0.105,0.0491733,-0.129425,0.102042,-0.127122
0.11,0.0491382,-0.129425,0.100843,-0.127437
0.115,0.0491025,-0.129425,0.0968109,-0.127779
0.12,0.0490661,-0.129425,0.0914968,-0.128148
0.125,0.0490291,-0.129425,0.0860128,-0.12853
0.13,0.0489913,-0.129425,0.0810723,-0.128912
0.135,0.0489529,-0.129425,0.0770648,-0.129279
0.14,0.0489137,-0.129425,0.0741387,-0.129619
0.145,0.0488739,-0.129425,0.0722904,-0.129915
0.15,0.0488332,-0.129425,0.0714372,-0.130156
0.155,0.0487919,-0.129425,0.071429,-0.130348
0.16,0.0487497,-0.129425,0.0720613,-0.130501
0.165,0.0487068,-0.129425,0.0731186,-0.130618
0.17,0.048663,-0.129425,0.0744001,-0.130703
0.175,0.0486185,-0.129425,0.075744,-0.130757
0.18,0.0485731,-0.129425,0.0770286,-0.130777
0.185,0.0485269,-0.129425,0.0781693,-0.130759
0.19,0.0484798,-0.129425,0.0791123,-0.130702
0.195,0.0484319,-0.129425,0.0798249,-0.130607
0.2,0.048383,-0.129425,0.0802889,-0.130477
0.205,0.0483333,-0.129425,0.080498,-0.130317
0.21,0.0482826,-0.129425,0.0804559,-0.13013
0.215,0.048231,-0.129425,0.0801748,-0.129922
0.22,0.0481784,-0.129425,0.0796746,-0.129699
0.225,0.0481248,-0.129425,0.078981,-0.129468
0.23,0.0480703,-0.129425,0.078124,-0.129234
0.235,0.0480147,-0.129425,0.0771359,-0.129004
0.24,0.0479581,-0.129425,0.07605,-0.128784
0.245,0.0479004,-0.129425,0.0748983,-0.12858
0.25,0.0478417,-0.129425,0.0737104,-0.128394
0.255,0.0477819,-0.129425,0.072512,-0.128232
0.26,0.0477209,-0.129425,0.0713195,-0.128098
0.265,0.0476588,-0.129425,0.0701444,-0.128
0.27,0.0475956,-0.129425,0.0690023,-0.127937
0.275,0.0475312,-0.129425,0.0679034,-0.127905
0.28,0.0474656,-0.129425,0.0668526,-0.127901
0.285,0.0473988,-0.129425,0.0658505,-0.127922
0.29,0.0473307,-0.129425,0.064895,-0.127963
0.295,0.0472614,-0.129425,0.0639821,-0.128019
0.3,0.0471908,-0.129425,0.0631068,-0.128087
0.305,0.0471188,-0.129425,0.0622633,-0.128162
0.31,0.0470456,-0.129425,0.0614464,-0.128241
0.315,0.0469709,-0.129425,0.0606507,-0.128319
0.32,0.0468949,-0.129425,0.0598717,-0.128395
0.325,0.0468175,-0.129425,0.0591051,-0.128466
0.33,0.0467386,-0.129425,0.0583432,-0.128533
0.335,0.0466582,-0.129425,0.0575781,-0.128599
0.34,0.0465764,-0.129425,0.0568096,-0.128664
0.345,0.046493,-0.129425,0.0560381,-0.128727
0.35,0.0464081,-0.129425,0.0552644,-0.128787
